"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T10:00Z[UTC]","","17.43","29.56","101.340004","1023.72","0.5616","3.9","1.1","1.5","0.07","280.0","26.0","35.0","289.0","16.0","81.0","","7.2600001E15","1.086","0.3","91.0","","4.23E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T10:30Z[UTC]","","17.43","29.56","101.37","1023.72","0.5184","3.8","1.2","2.3","0.04","127.0","26.0","35.0","293.0","15.9","82.0","","1.47000002E16","1.176","0.3","95.0","","4.24E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T11:00Z[UTC]","","17.43","29.56","101.38","1023.72","0.4464","3.8","1.0","1.4","0.08","144.0","26.0","32.0","324.0","15.9","81.0","","2.268E16","1.176","0.3","128.0","","4.4E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T11:30Z[UTC]","","17.41","29.56","101.42","1023.72","0.4248","3.7","1.0","1.4","0.19","150.0","30.0","40.0","299.0","15.7","75.0","","2.9460001E16","1.176","0.3","130.0","","4.34E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T12:00Z[UTC]","","17.38","29.57","101.45","1023.72","0.4032","3.9","1.1","1.6","0.1","168.0","29.0","37.0","304.0","15.6","74.0","","3.606E16","1.176","0.3","130.0","","4.55E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T12:30Z[UTC]","","17.44","29.58","101.47","1023.73","0.324","3.5","1.1","1.6","0.14","180.0","25.0","35.0","302.0","15.5","73.0","","4.2480001E16","1.176","0.4","145.0","","4.09E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T13:00Z[UTC]","","17.42","29.57","101.479996","1023.72","0.3096","3.8","1.1","1.9","0.19","175.0","28.0","36.0","290.0","15.5","74.0","","4.908E16","1.176","0.4","143.0","","4.19E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T13:30Z[UTC]","","17.62","29.54","101.509995","1023.7","0.2448","3.6","1.0","1.8","0.24","187.0","28.0","36.0","298.0","15.4","74.0","","5.2920001E16","1.086","0.4","153.0","","4.06E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T14:00Z[UTC]","","17.64","29.51","101.53","1023.68","0.2592","3.9","1.1","1.4","0.27","186.0","30.0","36.0","303.0","15.3","75.0","","5.7479998E16","1.086","0.3","154.0","","4.09E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T14:30Z[UTC]","","17.67","29.46","101.55","1023.64","0.2448","4.0","1.2","1.8","0.26","197.0","32.0","41.0","300.0","15.3","79.0","","6.1140002E16","1.086","0.4","166.0","","4.02E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T15:00Z[UTC]","","17.66","29.46","101.56","1023.64","0.252","4.0","1.1","2.2","0.26","211.0","31.0","40.0","281.0","15.2","72.0","","6.432E16","1.086","0.3","145.0","","4.23E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-24T15:30Z[UTC]","","17.67","29.45","101.58","1023.63","0.2448","4.1","1.2","1.6","0.23","214.0","28.0","36.0","315.0","15.3","73.0","","6.5759999E16","1.086","0.4","185.0","","4.09E-4"
